store_view_code,attribute_set_code,path,name,is_active,is_anchor,include_in_menu,display_mode,url_key,description,image_path,meta_title,meta_keywords,meta_description,landing_page,position,path_in_store,custom_design,custom_design_from,custom_design_to,page_layout,custom_layout_update,available_sort_by,default_sort_by,custom_use_parent_settings,custom_apply_to_products,filter_price_range,created_at,updated_at,additional_attributes
"",Default,My Root Category,My Root Category,1,1,1,Static block only,,,,,,,,,,,,,,,,,,,,,,
"",Default,My Root Category/What's New,What's New,1,1,1,Static block only,,,,,,,,,,,,,,,,,,,,,,
"",Default,My Root Category/Women,Women,1,0,1,Static block only,,,/womens/womens-main.jpg,,,,,,,,,,,"<referenceContainer name=""catalog.leftnav"" remove=""true""/>",,,,,,,,
"",Default,My Root Category/Women/Tops,Tops,1,1,1,,tops-women,,,,,,,,,,,,,,,,,,,,,
"",Default,My Root Category/Women/Tops/Jackets,Jackets,1,1,1,,jackets-women,,,,,,,,,,,,,,,,,,,,,
"",Default,My Root Category/Women/Tops/Hoodies & Sweatshirts,Hoodies & Sweatshirts,1,1,1,,hoodies-and-sweatshirts-women,,,,,,,,,,,,,,,,,,,,,
"",Default,My Root Category/Women/Tops/Tees,Tees,1,1,1,,tees-women,,,,,,,,,,,,,,,,,,,,,
"",Default,My Root Category/Women/Tops/Bras & Tanks,Bras & Tanks,1,1,1,,tanks-women,,/womens/womens-category-tanks.jpg,,,,,,,,,,,,,,,,,,,
"",Default,My Root Category/Women/Bottoms,Bottoms,1,1,1,,bottoms-women,,,,,,,,,,,,,,,,,,,,,
"",Default,My Root Category/Women/Bottoms/Pants,Pants,1,1,1,,pants-women,,/womens/womens-category-pants.jpg,,,,,,,,,,,,,,,,,,,
"",Default,My Root Category/Women/Bottoms/Shorts,Shorts,1,1,1,,shorts-women,,/womens/womens-category-shorts.jpg,,,,,,,,,,,,,,,,,,,
"",Default,Another Root Category,Another Root Category,1,0,1,Static block only,,,,,,,,,,,,,,"<referenceContainer name=""catalog.leftnav"" remove=""true""/>",,,,,,,,
"",Default,Another Root Category/Men,Men,1,0,1,Static block only,,,,,,,,,,,,,,"<referenceContainer name=""catalog.leftnav"" remove=""true""/>",,,,,,,,
"",Default,Another Root Category/Men/Tops,Tops,1,1,1,,tops-men,,,,,,,,,,,,,,,,,,,,,
"",Default,Another Root Category/Men/Tops/Jackets,Jackets,1,1,1,,jackets-men,,,,,,,,,,,,,,,,,,,,,
"",Default,Another Root Category/Men/Tops/Hoodies & Sweatshirts,Hoodies & Sweatshirts,1,1,1,,hoodies-and-sweatshirts-men,,,,,,,,,,,,,,,,,,,,,
"",Default,Another Root Category/Men/Tops/Tees,Tees,1,1,1,,tees-men,,,,,,,,,,,,,,,,,,,,,
"",Default,Another Root Category/Men/Tops/Tanks,Tanks,1,1,1,,tanks-men,,,,,,,,,,,,,,,,,,,,,
"",Default,Another Root Category/Men/Bottoms,Bottoms,1,1,1,,bottoms-men,,,,,,,,,,,,,,,,,,,,,
"",Default,Another Root Category/Men/Bottoms/Pants,Pants,1,1,1,,pants-men,,,,,,,,,,,,,,,,,,,,,
"",Default,Another Root Category/Men/Bottoms/Shorts,Shorts,1,1,1,,shorts-men,,,,,,,,,,,,,,,,,,,,,
"",Default,Additional Root Category,Additional Root Category,1,0,1,Static block only,,,,,,,,,,,,,,"<referenceContainer name=""catalog.leftnav"" remove=""true""/>",,,,,,,,
"",Default,Additional Root Category/Gear,Gear,1,0,1,Static block only,,,,,,,,,,,,,,"<referenceContainer name=""catalog.leftnav"" remove=""true""/>",,,,,,,,
"",Default,Additional Root Category/Gear/Bags,Bags,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
"",Default,Additional Root Category/Gear/Fitness Equipment,Fitness Equipment,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
"",Default,Additional Root Category/Gear/Watches,Watches,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
"",Default,The last Root Category,The last Root Category,1,1,0,Static block only,,,,,,,,,,,,,,,,,,,,,,
"",Default,The last Root Category/Collections,Collections,1,1,0,Static block only,,,,,,,,,,,,,,,,,,,,,,
"",Default,The last Root Category/Collections/New Luma Yoga Collection,New Luma Yoga Collection,1,1,0,,yoga-new,,,,,,,,,,,,,,,,,,,,,
"",Default,The last Root Category/Collections/Erin Recommends,Erin Recommends,1,1,0,,,,,,,,,,,,,,,,,,,,,,,
"",Default,The last Root Category/Collections/Performance Fabrics,Performance Fabrics,1,1,0,,,,,,,,,,,,,,,,,,,,,,,
"",Default,The last Root Category/Collections/Eco Friendly,Eco Friendly,1,1,0,,,,,,,,,,,,,,,,,,,,,,,
